traitID	traitDescription	traitType	downloadLink
5108_irnt.female	3mm asymmetry angle (right)	non-blood	https://www.dropbox.com/s/8y9x1yn6dywztlg/5108_irnt.ldsc.imputed_v3.female.tsv.bgz
5108_irnt.male	3mm asymmetry angle (right)	non-blood	https://www.dropbox.com/s/sm591netxntlo5l/5108_irnt.ldsc.imputed_v3.male.tsv.bgz
5109_irnt.female	6mm asymmetry angle (right)	non-blood	https://www.dropbox.com/s/wpocngqzpcct58l/5109_irnt.ldsc.imputed_v3.female.tsv.bgz
5109_irnt.male	6mm asymmetry angle (right)	non-blood	https://www.dropbox.com/s/qzfz6o15s4x9yp6/5109_irnt.ldsc.imputed_v3.male.tsv.bgz
5110_irnt.female	6mm asymmetry angle (left)	non-blood	https://www.dropbox.com/s/srdn1q7ac81is5w/5110_irnt.ldsc.imputed_v3.female.tsv.bgz
5110_irnt.male	6mm asymmetry angle (left)	non-blood	https://www.dropbox.com/s/274aktfozylwpfz/5110_irnt.ldsc.imputed_v3.male.tsv.bgz
5111_irnt.female	3mm asymmetry angle (left)	non-blood	https://www.dropbox.com/s/9hsllhz1o6gc35d/5111_irnt.ldsc.imputed_v3.female.tsv.bgz
5111_irnt.male	3mm asymmetry angle (left)	non-blood	https://www.dropbox.com/s/4t71xqouzucidmy/5111_irnt.ldsc.imputed_v3.male.tsv.bgz
5112_irnt.female	3mm cylindrical power angle (left)	non-blood	https://www.dropbox.com/s/8woxdufqcr4wqg2/5112_irnt.ldsc.imputed_v3.female.tsv.bgz
5112_irnt.male	3mm cylindrical power angle (left)	non-blood	https://www.dropbox.com/s/ypt0imynsnizghc/5112_irnt.ldsc.imputed_v3.male.tsv.bgz
5113_irnt.female	6mm cylindrical power angle (left)	non-blood	https://www.dropbox.com/s/q9hgo52jc9ms1yu/5113_irnt.ldsc.imputed_v3.female.tsv.bgz
5113_irnt.male	6mm cylindrical power angle (left)	non-blood	https://www.dropbox.com/s/trjgy44sjdd3zu8/5113_irnt.ldsc.imputed_v3.male.tsv.bgz
5114_irnt.female	6mm cylindrical power angle (right)	non-blood	https://www.dropbox.com/s/kh5wu074hglzf50/5114_irnt.ldsc.imputed_v3.female.tsv.bgz
5114_irnt.male	6mm cylindrical power angle (right)	non-blood	https://www.dropbox.com/s/sz91vv92x2tfqm7/5114_irnt.ldsc.imputed_v3.male.tsv.bgz
5115_irnt.female	3mm cylindrical power angle (right)	non-blood	https://www.dropbox.com/s/adeolvivi0h5ez4/5115_irnt.ldsc.imputed_v3.female.tsv.bgz
5115_irnt.male	3mm cylindrical power angle (right)	non-blood	https://www.dropbox.com/s/9hk13i9f68ep23x/5115_irnt.ldsc.imputed_v3.male.tsv.bgz
5116_irnt.female	3mm cylindrical power (right)	non-blood	https://www.dropbox.com/s/dwhsd3tza3ovsbr/5116_irnt.ldsc.imputed_v3.female.tsv.bgz
5116_irnt.male	3mm cylindrical power (right)	non-blood	https://www.dropbox.com/s/f9zoqpjrvvyca0d/5116_irnt.ldsc.imputed_v3.male.tsv.bgz
5117_irnt.female	6mm cylindrical power (right)	non-blood	https://www.dropbox.com/s/lh4snf5mr0sq0hq/5117_irnt.ldsc.imputed_v3.female.tsv.bgz
5117_irnt.male	6mm cylindrical power (right)	non-blood	https://www.dropbox.com/s/o84m606poj4hybe/5117_irnt.ldsc.imputed_v3.male.tsv.bgz
5118_irnt.female	6mm cylindrical power (left)	non-blood	https://www.dropbox.com/s/ub2lt4wx9w5cctx/5118_irnt.ldsc.imputed_v3.female.tsv.bgz
5118_irnt.male	6mm cylindrical power (left)	non-blood	https://www.dropbox.com/s/s8sd59hx84687yo/5118_irnt.ldsc.imputed_v3.male.tsv.bgz
5119_irnt.female	3mm cylindrical power (left)	non-blood	https://www.dropbox.com/s/e77wd6xbdxiikhq/5119_irnt.ldsc.imputed_v3.female.tsv.bgz
5119_irnt.male	3mm cylindrical power (left)	non-blood	https://www.dropbox.com/s/d9vc9kfk1ffld39/5119_irnt.ldsc.imputed_v3.male.tsv.bgz
5132_irnt.female	3mm strong meridian (right)	non-blood	https://www.dropbox.com/s/hjejz0avt89rrnz/5132_irnt.ldsc.imputed_v3.female.tsv.bgz
5132_irnt.male	3mm strong meridian (right)	non-blood	https://www.dropbox.com/s/11hr7xofew82vph/5132_irnt.ldsc.imputed_v3.male.tsv.bgz
5133_irnt.female	6mm strong meridian (right)	non-blood	https://www.dropbox.com/s/r5oetm1h9v6l86w/5133_irnt.ldsc.imputed_v3.female.tsv.bgz
5133_irnt.male	6mm strong meridian (right)	non-blood	https://www.dropbox.com/s/1ho8tztz5z6bfp7/5133_irnt.ldsc.imputed_v3.male.tsv.bgz
5134_irnt.female	6mm strong meridian (left)	non-blood	https://www.dropbox.com/s/hvgaulnlamxqvq5/5134_irnt.ldsc.imputed_v3.female.tsv.bgz
5134_irnt.male	6mm strong meridian (left)	non-blood	https://www.dropbox.com/s/lob5hyu5pdu4kwi/5134_irnt.ldsc.imputed_v3.male.tsv.bgz
5135_irnt.female	3mm strong meridian (left)	non-blood	https://www.dropbox.com/s/tcsrfdv9lk74t3s/5135_irnt.ldsc.imputed_v3.female.tsv.bgz
5135_irnt.male	3mm strong meridian (left)	non-blood	https://www.dropbox.com/s/ay9rozq81popzt7/5135_irnt.ldsc.imputed_v3.male.tsv.bgz
5156_irnt.female	3mm asymmetry index (left)	non-blood	https://www.dropbox.com/s/hpksg7xi00v6u4v/5156_irnt.ldsc.imputed_v3.female.tsv.bgz
5156_irnt.male	3mm asymmetry index (left)	non-blood	https://www.dropbox.com/s/m9eqpl7la0ytw2i/5156_irnt.ldsc.imputed_v3.male.tsv.bgz
5157_irnt.female	6mm asymmetry index (left)	non-blood	https://www.dropbox.com/s/zcsam7il9vtpabc/5157_irnt.ldsc.imputed_v3.female.tsv.bgz
5157_irnt.male	6mm asymmetry index (left)	non-blood	https://www.dropbox.com/s/9xtxvrnfui8q9v9/5157_irnt.ldsc.imputed_v3.male.tsv.bgz
5158_irnt.female	6mm asymmetry index (right)	non-blood	https://www.dropbox.com/s/n1shv8ofz2o47j3/5158_irnt.ldsc.imputed_v3.female.tsv.bgz
5158_irnt.male	6mm asymmetry index (right)	non-blood	https://www.dropbox.com/s/jt1u43c57wknnrd/5158_irnt.ldsc.imputed_v3.male.tsv.bgz
5159_irnt.female	3mm asymmetry index (right)	non-blood	https://www.dropbox.com/s/srhivtf4euqj7g4/5159_irnt.ldsc.imputed_v3.female.tsv.bgz
5159_irnt.male	3mm asymmetry index (right)	non-blood	https://www.dropbox.com/s/3lwlzx01js4c5yr/5159_irnt.ldsc.imputed_v3.male.tsv.bgz
5160_irnt.female	3mm regularity index (right)	non-blood	https://www.dropbox.com/s/x7syj2b83uuubze/5160_irnt.ldsc.imputed_v3.female.tsv.bgz
5160_irnt.male	3mm regularity index (right)	non-blood	https://www.dropbox.com/s/wgx1tkm7t2eg22f/5160_irnt.ldsc.imputed_v3.male.tsv.bgz
5161_irnt.female	6mm regularity index (right)	non-blood	https://www.dropbox.com/s/gucpbssr23uiu8s/5161_irnt.ldsc.imputed_v3.female.tsv.bgz
5161_irnt.male	6mm regularity index (right)	non-blood	https://www.dropbox.com/s/eu7qgwv6386yrgp/5161_irnt.ldsc.imputed_v3.male.tsv.bgz
5162_irnt.female	6mm regularity index (left)	non-blood	https://www.dropbox.com/s/oil45gop6zd0r4a/5162_irnt.ldsc.imputed_v3.female.tsv.bgz
5162_irnt.male	6mm regularity index (left)	non-blood	https://www.dropbox.com/s/e9xqo01knxkppks/5162_irnt.ldsc.imputed_v3.male.tsv.bgz
5163_irnt.female	3mm regularity index (left)	non-blood	https://www.dropbox.com/s/cie6idmla1mowsw/5163_irnt.ldsc.imputed_v3.female.tsv.bgz
5163_irnt.male	3mm regularity index (left)	non-blood	https://www.dropbox.com/s/pnlo244xtiv6mw4/5163_irnt.ldsc.imputed_v3.male.tsv.bgz
5201_irnt.female	logMAR, final (right)	non-blood	https://www.dropbox.com/s/a47s3susw07vz9p/5201_irnt.ldsc.imputed_v3.female.tsv.bgz
5201_irnt.male	logMAR, final (right)	non-blood	https://www.dropbox.com/s/52hwy114pd4szlv/5201_irnt.ldsc.imputed_v3.male.tsv.bgz
5208_irnt.female	logMAR, final (left)	non-blood	https://www.dropbox.com/s/hhq45lmv213mdbo/5208_irnt.ldsc.imputed_v3.female.tsv.bgz
5208_irnt.male	logMAR, final (left)	non-blood	https://www.dropbox.com/s/4zw9lcyde3yzqwa/5208_irnt.ldsc.imputed_v3.male.tsv.bgz
5254_irnt.female	Intra-ocular pressure, corneal-compensated (right)	non-blood	https://www.dropbox.com/s/2fzglfwxmdl7zdx/5254_irnt.ldsc.imputed_v3.female.tsv.bgz
5254_irnt.male	Intra-ocular pressure, corneal-compensated (right)	non-blood	https://www.dropbox.com/s/mlvonemrp93flwm/5254_irnt.ldsc.imputed_v3.male.tsv.bgz
5255_irnt.female	Intra-ocular pressure, Goldmann-correlated (right)	non-blood	https://www.dropbox.com/s/8riy0g9m6ctyrld/5255_irnt.ldsc.imputed_v3.female.tsv.bgz
5255_irnt.male	Intra-ocular pressure, Goldmann-correlated (right)	non-blood	https://www.dropbox.com/s/ix6gqioso725y1e/5255_irnt.ldsc.imputed_v3.male.tsv.bgz
5256_irnt.female	Corneal hysteresis (right)	non-blood	https://www.dropbox.com/s/jqv4xb1bijmrgge/5256_irnt.ldsc.imputed_v3.female.tsv.bgz
5256_irnt.male	Corneal hysteresis (right)	non-blood	https://www.dropbox.com/s/sol6ydwg5oc03gt/5256_irnt.ldsc.imputed_v3.male.tsv.bgz
5257_irnt.female	Corneal resistance factor (right)	non-blood	https://www.dropbox.com/s/f599j84vpp9f63e/5257_irnt.ldsc.imputed_v3.female.tsv.bgz
5257_irnt.male	Corneal resistance factor (right)	non-blood	https://www.dropbox.com/s/bz9jmr3650ls20n/5257_irnt.ldsc.imputed_v3.male.tsv.bgz
5262_irnt.female	Intra-ocular pressure, corneal-compensated (left)	non-blood	https://www.dropbox.com/s/dxf2n7l48rp4lfs/5262_irnt.ldsc.imputed_v3.female.tsv.bgz
5262_irnt.male	Intra-ocular pressure, corneal-compensated (left)	non-blood	https://www.dropbox.com/s/fam8gegkzqb8bl3/5262_irnt.ldsc.imputed_v3.male.tsv.bgz
5263_irnt.female	Intra-ocular pressure, Goldmann-correlated (left)	non-blood	https://www.dropbox.com/s/bd4bs9evb7byvne/5263_irnt.ldsc.imputed_v3.female.tsv.bgz
5263_irnt.male	Intra-ocular pressure, Goldmann-correlated (left)	non-blood	https://www.dropbox.com/s/i44jseg8jw44xeh/5263_irnt.ldsc.imputed_v3.male.tsv.bgz
5264_irnt.female	Corneal hysteresis (left)	non-blood	https://www.dropbox.com/s/i883i3io43xol1t/5264_irnt.ldsc.imputed_v3.female.tsv.bgz
5264_irnt.male	Corneal hysteresis (left)	non-blood	https://www.dropbox.com/s/ja467fpuw8gq6yu/5264_irnt.ldsc.imputed_v3.male.tsv.bgz
5265_irnt.female	Corneal resistance factor (left)	non-blood	https://www.dropbox.com/s/iiqny6g088w21vh/5265_irnt.ldsc.imputed_v3.female.tsv.bgz
5265_irnt.male	Corneal resistance factor (left)	non-blood	https://www.dropbox.com/s/u4t3a8hmssckvry/5265_irnt.ldsc.imputed_v3.male.tsv.bgz
5375_irnt.female	Longest period of unenthusiasm / disinterest	non-blood	https://www.dropbox.com/s/go38rhg2bhvbr4c/5375_irnt.ldsc.imputed_v3.female.tsv.bgz
5375_irnt.male	Longest period of unenthusiasm / disinterest	non-blood	https://www.dropbox.com/s/j8w6hasoof8zsua/5375_irnt.ldsc.imputed_v3.male.tsv.bgz
5983_irnt.female	ECG, heart rate	non-blood	https://www.dropbox.com/s/0cubxbit4s00bbg/5983_irnt.ldsc.imputed_v3.female.tsv.bgz
5983_irnt.male	ECG, heart rate	non-blood	https://www.dropbox.com/s/tz398mk0yy6frar/5983_irnt.ldsc.imputed_v3.male.tsv.bgz
5984_irnt.female	ECG, load	non-blood	https://www.dropbox.com/s/mxep8uhgfwdlae4/5984_irnt.ldsc.imputed_v3.female.tsv.bgz
5984_irnt.male	ECG, load	non-blood	https://www.dropbox.com/s/5aq0d7ia0nshkl2/5984_irnt.ldsc.imputed_v3.male.tsv.bgz
5986_irnt.female	ECG, phase time	non-blood	https://www.dropbox.com/s/7r832d4vu23wgfg/5986_irnt.ldsc.imputed_v3.female.tsv.bgz
5986_irnt.male	ECG, phase time	non-blood	https://www.dropbox.com/s/6a5r80jamy3seyj/5986_irnt.ldsc.imputed_v3.male.tsv.bgz
6032_irnt.female	Maximum workload during fitness test	non-blood	https://www.dropbox.com/s/neetr7a23d7utrh/6032_irnt.ldsc.imputed_v3.female.tsv.bgz
6032_irnt.male	Maximum workload during fitness test	non-blood	https://www.dropbox.com/s/mlpke6gjo76cqak/6032_irnt.ldsc.imputed_v3.male.tsv.bgz
6033_irnt.female	Maximum heart rate during fitness test	non-blood	https://www.dropbox.com/s/qethnpu4lpomzaa/6033_irnt.ldsc.imputed_v3.female.tsv.bgz
6033_irnt.male	Maximum heart rate during fitness test	non-blood	https://www.dropbox.com/s/nx1mfea8nvfzwa8/6033_irnt.ldsc.imputed_v3.male.tsv.bgz
6038_irnt.female	Number of trend entries	non-blood	https://www.dropbox.com/s/d5tz1jdgrc9lrsw/6038_irnt.ldsc.imputed_v3.female.tsv.bgz
6038_irnt.male	Number of trend entries	non-blood	https://www.dropbox.com/s/drs1eqvv3usztln/6038_irnt.ldsc.imputed_v3.male.tsv.bgz
12336_irnt.female	Ventricular rate	non-blood	https://www.dropbox.com/s/es64kfml2l0hy5e/12336_irnt.ldsc.imputed_v3.female.tsv.bgz
12336_irnt.male	Ventricular rate	non-blood	https://www.dropbox.com/s/jxxfch77jcv27fs/12336_irnt.ldsc.imputed_v3.male.tsv.bgz
12338_irnt.female	P duration	non-blood	https://www.dropbox.com/s/i6ljm2zxj5ubo18/12338_irnt.ldsc.imputed_v3.female.tsv.bgz
12338_irnt.male	P duration	non-blood	https://www.dropbox.com/s/ht7sisfnq6m06lu/12338_irnt.ldsc.imputed_v3.male.tsv.bgz
12340_irnt.female	QRS duration	non-blood	https://www.dropbox.com/s/hqxg1c4v4q9bc3n/12340_irnt.ldsc.imputed_v3.female.tsv.bgz
12340_irnt.male	QRS duration	non-blood	https://www.dropbox.com/s/6vaelq1ysmyeee0/12340_irnt.ldsc.imputed_v3.male.tsv.bgz
20007_irnt.female	Interpolated Age of participant when cancer first diagnosed	non-blood	https://www.dropbox.com/s/vafy3mlzpk9fkci/20007_irnt.ldsc.imputed_v3.female.tsv.bgz
20007_irnt.male	Interpolated Age of participant when cancer first diagnosed	non-blood	https://www.dropbox.com/s/9bftlatxmsxdi2b/20007_irnt.ldsc.imputed_v3.male.tsv.bgz
20015_irnt.female	Sitting height	non-blood	https://www.dropbox.com/s/i8reiovyxz9qnn1/20015_irnt.ldsc.imputed_v3.female.tsv.bgz
20015_irnt.male	Sitting height	non-blood	https://www.dropbox.com/s/dfi4jx5cbfl9fus/20015_irnt.ldsc.imputed_v3.male.tsv.bgz
20016_irnt.female	Fluid intelligence score	non-blood	https://www.dropbox.com/s/wmpxjdo4q2p32yj/20016_irnt.ldsc.imputed_v3.female.tsv.bgz
20016_irnt.male	Fluid intelligence score	non-blood	https://www.dropbox.com/s/e9vlhl47bx07jb6/20016_irnt.ldsc.imputed_v3.male.tsv.bgz
20019_irnt.female	Speech-reception-threshold (SRT) estimate (left)	non-blood	https://www.dropbox.com/s/zucwxewgq6gjy21/20019_irnt.ldsc.imputed_v3.female.tsv.bgz
20019_irnt.male	Speech-reception-threshold (SRT) estimate (left)	non-blood	https://www.dropbox.com/s/3uyrx8v346zb5h4/20019_irnt.ldsc.imputed_v3.male.tsv.bgz
20021_irnt.female	Speech-reception-threshold (SRT) estimate (right)	non-blood	https://www.dropbox.com/s/geljsd8yfhq3vc0/20021_irnt.ldsc.imputed_v3.female.tsv.bgz
20021_irnt.male	Speech-reception-threshold (SRT) estimate (right)	non-blood	https://www.dropbox.com/s/6mqrjb8fgm3snki/20021_irnt.ldsc.imputed_v3.male.tsv.bgz
20022_irnt.female	Birth weight	non-blood	https://www.dropbox.com/s/o88z1jwqc20kzeb/20022_irnt.ldsc.imputed_v3.female.tsv.bgz
20022_irnt.male	Birth weight	non-blood	https://www.dropbox.com/s/qjzr6fc77szisd9/20022_irnt.ldsc.imputed_v3.male.tsv.bgz
20023_irnt.female	Mean time to correctly identify matches	non-blood	https://www.dropbox.com/s/rzx0vfaqwlpijov/20023_irnt.ldsc.imputed_v3.female.tsv.bgz
20023_irnt.male	Mean time to correctly identify matches	non-blood	https://www.dropbox.com/s/yloehorjalnvnp8/20023_irnt.ldsc.imputed_v3.male.tsv.bgz
20074_irnt.female	Home location at assessment - east co-ordinate (rounded)	non-blood	https://www.dropbox.com/s/hck90yobpjay1dt/20074_irnt.ldsc.imputed_v3.female.tsv.bgz
20074_irnt.male	Home location at assessment - east co-ordinate (rounded)	non-blood	https://www.dropbox.com/s/56pcos9u4031356/20074_irnt.ldsc.imputed_v3.male.tsv.bgz
20075_irnt.female	Home location at assessment - north co-ordinate (rounded)	non-blood	https://www.dropbox.com/s/bavx9n2leouyhue/20075_irnt.ldsc.imputed_v3.female.tsv.bgz
20075_irnt.male	Home location at assessment - north co-ordinate (rounded)	non-blood	https://www.dropbox.com/s/jyriiju63wu8wrt/20075_irnt.ldsc.imputed_v3.male.tsv.bgz
20127_irnt.female	Neuroticism score	non-blood	https://www.dropbox.com/s/71ym5k89i1u36jp/20127_irnt.ldsc.imputed_v3.female.tsv.bgz
20127_irnt.male	Neuroticism score	non-blood	https://www.dropbox.com/s/2kqutcai87cwxy1/20127_irnt.ldsc.imputed_v3.male.tsv.bgz
20150_irnt.female	Forced expiratory volume in 1-second (FEV1), Best measure	non-blood	https://www.dropbox.com/s/060l0ez52hz6wy7/20150_irnt.ldsc.imputed_v3.female.tsv.bgz
20150_irnt.male	Forced expiratory volume in 1-second (FEV1), Best measure	non-blood	https://www.dropbox.com/s/qi3skyuo5s2b2t7/20150_irnt.ldsc.imputed_v3.male.tsv.bgz
20151_irnt.female	Forced vital capacity (FVC), Best measure	non-blood	https://www.dropbox.com/s/zasotki379ixe4f/20151_irnt.ldsc.imputed_v3.female.tsv.bgz
20151_irnt.male	Forced vital capacity (FVC), Best measure	non-blood	https://www.dropbox.com/s/vhly4sfslvc03eb/20151_irnt.ldsc.imputed_v3.male.tsv.bgz
20153_irnt.female	Forced expiratory volume in 1-second (FEV1), predicted	non-blood	https://www.dropbox.com/s/05enesmkqfyx48l/20153_irnt.ldsc.imputed_v3.female.tsv.bgz
20153_irnt.male	Forced expiratory volume in 1-second (FEV1), predicted	non-blood	https://www.dropbox.com/s/3k2io3az6miuwhk/20153_irnt.ldsc.imputed_v3.male.tsv.bgz
20154_irnt.female	Forced expiratory volume in 1-second (FEV1), predicted percentage	non-blood	https://www.dropbox.com/s/z0zccngf6m3dgx8/20154_irnt.ldsc.imputed_v3.female.tsv.bgz
20154_irnt.male	Forced expiratory volume in 1-second (FEV1), predicted percentage	non-blood	https://www.dropbox.com/s/w97clqq31me11bo/20154_irnt.ldsc.imputed_v3.male.tsv.bgz
20420_irnt.female	Longest period spent worried or anxious	non-blood	https://www.dropbox.com/s/ckzjfm6gss0ozo3/20420_irnt.ldsc.imputed_v3.female.tsv.bgz
20420_irnt.male	Longest period spent worried or anxious	non-blood	https://www.dropbox.com/s/60goxuvoweikkj9/20420_irnt.ldsc.imputed_v3.male.tsv.bgz
20433_irnt.female	Age at first episode of depression	non-blood	https://www.dropbox.com/s/75u3jigpfwv5zug/20433_irnt.ldsc.imputed_v3.female.tsv.bgz
20433_irnt.male	Age at first episode of depression	non-blood	https://www.dropbox.com/s/hqcishok7bqlg2e/20433_irnt.ldsc.imputed_v3.male.tsv.bgz
20434_irnt.female	Age at last episode of depression	non-blood	https://www.dropbox.com/s/v1nu8s285ht39qp/20434_irnt.ldsc.imputed_v3.female.tsv.bgz
20434_irnt.male	Age at last episode of depression	non-blood	https://www.dropbox.com/s/05lk7uxr1s7phh0/20434_irnt.ldsc.imputed_v3.male.tsv.bgz
20455_irnt.female	Age when last took cannabis	non-blood	https://www.dropbox.com/s/7ubnzwfzj2z0dx7/20455_irnt.ldsc.imputed_v3.female.tsv.bgz
20455_irnt.male	Age when last took cannabis	non-blood	https://www.dropbox.com/s/cnperk8n5ofkuhz/20455_irnt.ldsc.imputed_v3.male.tsv.bgz
21001_irnt.female	Body mass index (BMI)	non-blood	https://www.dropbox.com/s/xjv8qlferd25n3o/21001_irnt.ldsc.imputed_v3.female.tsv.bgz
21001_irnt.male	Body mass index (BMI)	non-blood	https://www.dropbox.com/s/hv2m4wqo90mtrjl/21001_irnt.ldsc.imputed_v3.male.tsv.bgz
21002_irnt.female	Weight	non-blood	https://www.dropbox.com/s/zptx8oardosgujo/21002_irnt.ldsc.imputed_v3.female.tsv.bgz
21002_irnt.male	Weight	non-blood	https://www.dropbox.com/s/yb15ifrbrw13i0y/21002_irnt.ldsc.imputed_v3.male.tsv.bgz
21021_irnt.female	Pulse wave Arterial Stiffness index	non-blood	https://www.dropbox.com/s/krue84380zouz65/21021_irnt.ldsc.imputed_v3.female.tsv.bgz
21021_irnt.male	Pulse wave Arterial Stiffness index	non-blood	https://www.dropbox.com/s/uuvfu0t39poz5r2/21021_irnt.ldsc.imputed_v3.male.tsv.bgz
22146_irnt.female	Age hayfever or allergic rhinitis diagnosed by doctor	non-blood	https://www.dropbox.com/s/a44mnozb3v8g7lw/22146_irnt.ldsc.imputed_v3.female.tsv.bgz
22146_irnt.male	Age hayfever or allergic rhinitis diagnosed by doctor	non-blood	https://www.dropbox.com/s/1oafv4u49mua9lq/22146_irnt.ldsc.imputed_v3.male.tsv.bgz
22147_irnt.female	Age asthma diagnosed by doctor	non-blood	https://www.dropbox.com/s/dmocy7eppr06v18/22147_irnt.ldsc.imputed_v3.female.tsv.bgz
22147_irnt.male	Age asthma diagnosed by doctor	non-blood	https://www.dropbox.com/s/z4wii6o28dwz2zk/22147_irnt.ldsc.imputed_v3.male.tsv.bgz
22501_irnt.female	Year ended full time education	non-blood	https://www.dropbox.com/s/8tg8l0s5a5ra1dt/22501_irnt.ldsc.imputed_v3.female.tsv.bgz
22501_irnt.male	Year ended full time education	non-blood	https://www.dropbox.com/s/onnw3ahwk4ubm9n/22501_irnt.ldsc.imputed_v3.male.tsv.bgz
22503_irnt.female	Years of cough on most days	non-blood	https://www.dropbox.com/s/55is6wcoxi7n5nc/22503_irnt.ldsc.imputed_v3.female.tsv.bgz
22503_irnt.male	Years of cough on most days	non-blood	https://www.dropbox.com/s/0kt580ya5esuqpw/22503_irnt.ldsc.imputed_v3.male.tsv.bgz
22507_irnt.female	Age of stopping smoking	non-blood	https://www.dropbox.com/s/2kebs03z1dq0y2z/22507_irnt.ldsc.imputed_v3.female.tsv.bgz
22507_irnt.male	Age of stopping smoking	non-blood	https://www.dropbox.com/s/trosuqzdnv7byy0/22507_irnt.ldsc.imputed_v3.male.tsv.bgz
22605_irnt.female	Work hours per week - exact value	non-blood	https://www.dropbox.com/s/it6b5ew3ssn7vj7/22605_irnt.ldsc.imputed_v3.female.tsv.bgz
22605_irnt.male	Work hours per week - exact value	non-blood	https://www.dropbox.com/s/2jg72feexsdjz37/22605_irnt.ldsc.imputed_v3.male.tsv.bgz
22643_irnt.female	Number of night shifts worked monthly during mixed shift periods	non-blood	https://www.dropbox.com/s/3wqca8lcp87ernd/22643_irnt.ldsc.imputed_v3.female.tsv.bgz
22643_irnt.male	Number of night shifts worked monthly during mixed shift periods	non-blood	https://www.dropbox.com/s/lfi0xa1v1golpvh/22643_irnt.ldsc.imputed_v3.male.tsv.bgz
22644_irnt.female	Consecutive night shifts during mixed shift periods	non-blood	https://www.dropbox.com/s/tj39lw02b2fxm2i/22644_irnt.ldsc.imputed_v3.female.tsv.bgz
22644_irnt.male	Consecutive night shifts during mixed shift periods	non-blood	https://www.dropbox.com/s/8vrmy5gtwmo39qb/22644_irnt.ldsc.imputed_v3.male.tsv.bgz
22702_irnt.female	Home location - east co-ordinate (rounded)	non-blood	https://www.dropbox.com/s/qe0wnzmx1ysf49n/22702_irnt.ldsc.imputed_v3.female.tsv.bgz
22702_irnt.male	Home location - east co-ordinate (rounded)	non-blood	https://www.dropbox.com/s/5l9lkr25xvrl2dx/22702_irnt.ldsc.imputed_v3.male.tsv.bgz
22704_irnt.female	Home location - north co-ordinate (rounded)	non-blood	https://www.dropbox.com/s/k767ynvwumcf56m/22704_irnt.ldsc.imputed_v3.female.tsv.bgz
22704_irnt.male	Home location - north co-ordinate (rounded)	non-blood	https://www.dropbox.com/s/xx6fif5pyhr7b2d/22704_irnt.ldsc.imputed_v3.male.tsv.bgz
23098_irnt.female	Weight	non-blood	https://www.dropbox.com/s/1dk7c6zozaubd8k/23098_irnt.ldsc.imputed_v3.female.tsv.bgz
23098_irnt.male	Weight	non-blood	https://www.dropbox.com/s/66u2klftsjbwkk6/23098_irnt.ldsc.imputed_v3.male.tsv.bgz
23099_irnt.female	Body fat percentage	non-blood	https://www.dropbox.com/s/yf4jhjgwr5dlapu/23099_irnt.ldsc.imputed_v3.female.tsv.bgz
23099_irnt.male	Body fat percentage	non-blood	https://www.dropbox.com/s/a5rgpqwhjo407ag/23099_irnt.ldsc.imputed_v3.male.tsv.bgz
23100_irnt.female	Whole body fat mass	non-blood	https://www.dropbox.com/s/l2ql8e702qtpwat/23100_irnt.ldsc.imputed_v3.female.tsv.bgz
23100_irnt.male	Whole body fat mass	non-blood	https://www.dropbox.com/s/8pfcek49juwp38i/23100_irnt.ldsc.imputed_v3.male.tsv.bgz
23101_irnt.female	Whole body fat-free mass	non-blood	https://www.dropbox.com/s/u3lytblu2uq0o0c/23101_irnt.ldsc.imputed_v3.female.tsv.bgz
23101_irnt.male	Whole body fat-free mass	non-blood	https://www.dropbox.com/s/pg0klby9r6f97qp/23101_irnt.ldsc.imputed_v3.male.tsv.bgz
23102_irnt.female	Whole body water mass	non-blood	https://www.dropbox.com/s/o9rccl78mbps1px/23102_irnt.ldsc.imputed_v3.female.tsv.bgz
23102_irnt.male	Whole body water mass	non-blood	https://www.dropbox.com/s/zbkke5nwm03qwcs/23102_irnt.ldsc.imputed_v3.male.tsv.bgz
23104_irnt.female	Body mass index (BMI)	non-blood	https://www.dropbox.com/s/79rhbw1lqfruest/23104_irnt.ldsc.imputed_v3.female.tsv.bgz
23104_irnt.male	Body mass index (BMI)	non-blood	https://www.dropbox.com/s/k4ip7vjhp8mt4bv/23104_irnt.ldsc.imputed_v3.male.tsv.bgz
23105_irnt.female	Basal metabolic rate	non-blood	https://www.dropbox.com/s/em0oze5m20jrutt/23105_irnt.ldsc.imputed_v3.female.tsv.bgz
23105_irnt.male	Basal metabolic rate	non-blood	https://www.dropbox.com/s/e8hys15v03h8853/23105_irnt.ldsc.imputed_v3.male.tsv.bgz
23106_irnt.female	Impedance of whole body	non-blood	https://www.dropbox.com/s/d8ka81dxalx2bsx/23106_irnt.ldsc.imputed_v3.female.tsv.bgz
23106_irnt.male	Impedance of whole body	non-blood	https://www.dropbox.com/s/stbb8por9k6kphv/23106_irnt.ldsc.imputed_v3.male.tsv.bgz
23107_irnt.female	Impedance of leg (right)	non-blood	https://www.dropbox.com/s/v8mqfnl49b79eh6/23107_irnt.ldsc.imputed_v3.female.tsv.bgz
23107_irnt.male	Impedance of leg (right)	non-blood	https://www.dropbox.com/s/4vai81jk5jc19wn/23107_irnt.ldsc.imputed_v3.male.tsv.bgz
