trait_short	Enrichment	Enrichment_p	Enrichment_p_adj	description
100005_irnt.female	8.688296554289707	0.2925221333649524	0.590070420224148	Carbohydrate
796_irnt.female	-7.66886129270681	0.2952783075502783	0.5935902963425115	Distance between home and job workplace
30820_irnt.female	93.1782549942544	0.3003476618751866	0.6000892939237847	Rheumatoid factor (IU/ml)
23125_irnt.male	2.7589805497210858	0.3011016852782971	0.6000892939237847	Arm fat-free mass (left)
22704_irnt.male	8.564615377248655	0.3015780949020724	0.6000892939237847	Home location - north co-ordinate (rounded)
30530_irnt.female	2.626929069975663	0.3029306157039468	0.6007171581304851	Sodium in urine
22501_irnt.male	4.759474556239728	0.3039403679126986	0.6007171581304851	Year ended full time education
20127_irnt.female	2.530122730356205	0.3050210946689127	0.6008301428545362	Neuroticism score
100003_irnt.female	28.427413667797246	0.3087625096802713	0.6061658634860176	Protein
100019_irnt.male	-24.99108015128653	0.3105594953645981	0.6076614125967303	Carotene
4124_irnt.female	3.1253040110445656	0.3126638520545393	0.6097464490233042	Heel bone mineral density (BMD) (right)
4609_irnt.female	-12.68548269158386	0.3145111017311336	0.6113179361462763	Longest period of depression
30880_irnt.female	2.811735273466009	0.3171405848429094	0.611554256494753	Urate (umol/L)
48_irnt.female	2.173586679738092	0.3187943911740579	0.611554256494753	Waist circumference
4125_irnt.female	3.083005813724267	0.318928781410038	0.611554256494753	Heel bone mineral density (BMD) T-score, automated (right)
4123_irnt.female	3.0822899690479373	0.3190959022326537	0.611554256494753	Heel quantitative ultrasound index (QUI), direct entry (right)
20016_irnt.female	2.830490319762374	0.3203178402034866	0.611554256494753	Fluid intelligence score
5983_irnt.male	-4.398571085800087	0.3223165256590237	0.611554256494753	ECG, heart rate
100006_irnt.female	-164.66225954947006	0.3227062138593334	0.611554256494753	Saturated fat
30500_irnt.female	10.170450794210309	0.3233335215303274	0.611554256494753	Microalbumin in urine
22644_irnt.male	-77.80187997542484	0.3251559089721813	0.611554256494753	Consecutive night shifts during mixed shift periods
5201_irnt.female	-7.16133479639316	0.3259196820598248	0.611554256494753	logMAR, final (right)
2966_irnt.male	6.337005157404714	0.3260928147919211	0.611554256494753	Age high blood pressure diagnosed
84_irnt.male	-56.27188798806152	0.3291432967787681	0.6153092841055314	Cancer year/age first occurred
100004_irnt.female	-1328.3594181191156	0.3340716032358689	0.6225397812681113	Fat
5098_irnt.male	-0.5833666049253493	0.336513137189524	0.6235350565429234	6mm weak meridian (right)
23126_irnt.male	2.6486538993051005	0.3369346851266704	0.6235350565429234	Arm predicted mass (left)
129_irnt.male	6.448668400929964	0.3377924156399483	0.6235350565429234	Place of birth in UK - north co-ordinate
47_irnt.female	2.515175490685513	0.3411037888081728	0.6258734616818293	Hand grip strength (right)
129_irnt.male.v2	6.764526499573308	0.341191665652786	0.6258734616818293	Place of birth in UK - north co-ordinate
5160_irnt.male	-8.405780292241824	0.345042737218641	0.629628787632718	3mm regularity index (right)
24010_irnt.female	43.86206306706136	0.3453841049705881	0.629628787632718	Inverse distance to the nearest road
30680_irnt.female	3.747495926489849	0.3475115216682677	0.6315457065612172	Calcium (mmol/L)
2976_irnt.female	-26.68664506782766	0.3486716906953269	0.631698402586904	Age diabetes diagnosed
5104_irnt.male	7.137299536025132	0.3533561611758374	0.6360539756610406	3mm strong meridian angle (left)
23127_irnt.female	2.06088610810272	0.3537973474704702	0.6360539756610406	Trunk fat percentage
22507_irnt.male	24.811184552322796	0.3543264907004434	0.6360539756610406	Age of stopping smoking
3062_irnt.female	2.2678590070385902	0.3573571079341548	0.6395384827967954	Forced vital capacity (FVC)
23111_irnt.male	2.032085176054116	0.3605079721834958	0.6399661945589152	Leg fat percentage (right)
3062_irnt.male	2.206463177407177	0.3615677109293815	0.6399661945589152	Forced vital capacity (FVC)
100013_irnt.female	-56.11248137084813	0.3616879461810851	0.6399661945589152	Vitamin B12
30530_irnt.male	-0.9546337046705046	0.3636900484868965	0.6399661945589152	Sodium in urine
5107_irnt.male	7.037182342977214	0.3640104698518607	0.6399661945589152	3mm strong meridian angle (right)
24017_irnt.female	-6.121782594824478	0.3641374940079688	0.6399661945589152	Nitrogen dioxide air pollution; 2006
5255_irnt.female	-1.9323014473756916	0.3670717304736223	0.6431973307104963	Intra-ocular pressure, Goldmann-correlated (right)
30690_irnt.male	3.155542338933364	0.3751540347850164	0.6525198300576619	Cholesterol (mmol/L)
5159_irnt.female	7.852441297978008	0.3757657885682185	0.6525198300576619	3mm asymmetry index (right)
24012_irnt.male	-26.57340810790113	0.3768384932386543	0.6525198300576619	Inverse distance to the nearest major road
3526_irnt.male	10.355682359670324	0.3768385389941182	0.6525198300576619	Mother's age at death
404_irnt.female	2.396845410030784	0.3792016066503367	0.6546804208933754	Duration to first press of snap-button in each round
23123_irnt.male	2.055432889500963	0.3856881378546318	0.65579802485901	Arm fat percentage (left)
78_irnt.male	-0.7228385757693768	0.3863343745040086	0.65579802485901	Heel bone mineral density (BMD) T-score, automated
399_irnt.male	-0.5911187658558923	0.3863631378507034	0.65579802485901	Number of incorrect matches in round
3147_irnt.male	-0.722347352356445	0.38649202221694	0.65579802485901	Heel quantitative ultrasound index (QUI), direct entry
3147_irnt.female	2.557779369372851	0.3870003434177892	0.65579802485901	Heel quantitative ultrasound index (QUI), direct entry
78_irnt.female	2.557518157500894	0.3870820493674718	0.65579802485901	Heel bone mineral density (BMD) T-score, automated
3148_irnt.female	2.5538584259768458	0.387669360521425	0.65579802485901	Heel bone mineral density (BMD)
30830_irnt.male	-1.0933782337159912	0.3976535499294362	0.6688978188761857	SHBG (nmol/L)
30600_irnt.male	2.948554323640042	0.397692229621446	0.6688978188761857	Albumin (g/L)
20074_irnt.male	22.075409701929612	0.4064100346856305	0.6789526975601682	Home location at assessment - east co-ordinate (rounded)
100002_irnt.male	9.40035127751839	0.4065359476829756	0.6789526975601682	Energy
5132_irnt.male	-0.4095486907983206	0.4081904123638286	0.6789526975601682	3mm strong meridian (right)
20150_irnt.male	2.0607761035826155	0.4082969373743431	0.6789526975601682	Forced expiratory volume in 1-second (FEV1), Best measure
20007_irnt.male	-492.7990983461505	0.4095492472478553	0.6791113224138166	Interpolated Age of participant when cancer first diagnosed
22704_irnt.female	4.818933228953225	0.41178070722373	0.6808880989868437	Home location - north co-ordinate (rounded)
5108_irnt.female	8.245490092611286	0.4148439008272475	0.6826060583858261	3mm asymmetry angle (right)
767_irnt.male	-4.435569590075125	0.415145422221022	0.6826060583858261	Length of working week for main job
24018_irnt.female	-5.406481515608611	0.4179949843699513	0.6844708184194176	Nitrogen dioxide air pollution; 2007
24003_irnt.male	-3.2584409897205147	0.4186116248936472	0.6844708184194176	Nitrogen dioxide air pollution; 2010
3148_irnt.male	-0.5335336494510918	0.4268312769903577	0.6959721099814999	Heel bone mineral density (BMD)
5161_irnt.male	-7.055296189260861	0.4314392182682767	0.7013374919023339	6mm regularity index (right)
4233_irnt.female	31.386579644883565	0.4325113663861071	0.7013374919023339	Mean signal-to-noise ratio (SNR), (left)
5084_irnt.male	3.071600934926165	0.4405186683372699	0.7106370906160684	Spherical power (right)
5099_irnt.male	-0.3088537952649261	0.4406676337040016	0.7106370906160684	3mm weak meridian (right)
20151_irnt.female	2.0778862126182283	0.4441796490712423	0.7131059283929738	Forced vital capacity (FVC), Best measure
5158_irnt.male	9.18445007290796	0.4446282279247503	0.7131059283929738	6mm asymmetry index (right)
4079_irnt.female	2.235680129834045	0.4469884155080412	0.7140385417358132	Diastolic blood pressure, automated reading
767_irnt.female	7.597764168144206	0.44764256108821	0.7140385417358132	Length of working week for main job
100009_irnt.male	-9.198039679761427	0.450952995429295	0.7173696702357619	Englyst dietary fibre
20023_irnt.female	2.1697420760972244	0.4526828652139085	0.7181752483258493	Mean time to correctly identify matches
4100_irnt.male	2.478996597199447	0.4546546770483158	0.7193592868662031	Ankle spacing width (left)
5086_irnt.male	7.008859374978617	0.4622130021605563	0.7293522372802326	Cylindrical power (left)
23119_irnt.male	1.8979019891275788	0.4667370315245756	0.7342256213146499	Arm fat percentage (right)
4080_irnt.male	2.492873186438576	0.4678030364083119	0.7342256213146499	Systolic blood pressure, automated reading
30770_irnt.female	-0.2986485863167459	0.4703015610066935	0.7361787101624775	IGF-1 (nmol/L)
5085_irnt.male	2.8719677718212564	0.4764937149961239	0.7438877944221403	Spherical power (left)
94_irnt.female	5.441419619753071	0.4793272687878724	0.7455405735504625	Diastolic blood pressure, manual reading
100018_irnt.female	95.77551875559864	0.4803283697735154	0.7455405735504625	Retinol
100003_irnt.male	11.923223433996949	0.482316532718575	0.7455405735504625	Protein
22147_irnt.female	29.05801143988455	0.4826327392660575	0.7455405735504625	Age asthma diagnosed by doctor
20075_irnt.male	7.249644377100607	0.4876165339632328	0.7499611310842592	Home location at assessment - north co-ordinate (rounded)
22605_irnt.male	-12.748622983712282	0.4886194123920727	0.7499611310842592	Work hours per week - exact value
3761_irnt.male	4.572106907054882	0.4902496474792484	0.7499611310842592	Age hay fever, rhinitis or eczema diagnosed
5118_irnt.female	6.402497485664866	0.4906048966547794	0.7499611310842592	6mm cylindrical power (left)
24019_irnt.female	-3.9994288106231375	0.4918862468947194	0.7499668231875333	Particulate matter air pollution (pm10); 2007
3144_irnt.female	2.1382335241203467	0.4971419370213658	0.7560163653666884	Heel Broadband ultrasound attenuation, direct entry
5101_irnt.female	5.117491154868085	0.4988464071269524	0.7566481679160751	6mm weak meridian angle (right)
24005_irnt.female	10.315275565099215	0.501395373741141	0.7585543412011592	Particulate matter air pollution (pm10); 2010
30700_irnt.male	2.1738451408291417	0.5058611200068154	0.7600147261214648	Creatinine (umol/L)
5114_irnt.female	5.071496466650086	0.5061127660187801	0.7600147261214648	6mm cylindrical power angle (right)
4119_irnt.male	2.34869279403363	0.5065964205213189	0.7600147261214648	Ankle spacing width (right)
5156_irnt.female	59.17631026560969	0.5078568332475466	0.7600147261214648	3mm asymmetry index (left)
5132_irnt.female	2.373312604366992	0.5094262236673188	0.7600147261214648	3mm strong meridian (right)
30640_irnt.male	3.077331462565873	0.5101291347391093	0.7600147261214648	Apoliprotein B (g/L)
5113_irnt.male	-88.64334080583909	0.517684128190373	0.7689304645306204	6mm cylindrical power angle (left)
12338_irnt.female	17.09330899517816	0.5187333287123095	0.7689304645306204	P duration
5256_irnt.male	-1.0002104245496273	0.5203269209211623	0.7693498805559755	Corneal hysteresis (right)
5106_irnt.male	7.385776147526097	0.5241824872039194	0.7731033165545244	6mm strong meridian angle (right)
5163_irnt.male	7.774008756041326	0.527657012302376	0.7762773589511147	3mm regularity index (left)
130_irnt.male	6.398833328157747	0.5306184870313579	0.7783563989830731	Place of birth in UK - east co-ordinate
22503_irnt.male	-164.61722545350327	0.5317221737516393	0.7783563989830731	Years of cough on most days
20420_irnt.female	-10.794207939501067	0.5336232513220153	0.7791961406119975	Longest period spent worried or anxious
5108_irnt.male	11.035351346259173	0.5431972281515083	0.7912018066920885	3mm asymmetry angle (right)
20150_irnt.female	1.7879679552348169	0.5445409368034135	0.7912018066920885	Forced expiratory volume in 1-second (FEV1), Best measure
874_irnt.female	2.947360724670271	0.5481952763633656	0.7945447585809768	Duration of walks
189_irnt.male	3.700395568565318	0.5522796098933992	0.7954927800678168	Townsend deprivation index at recruitment
30660_irnt.female	3.895961813668333	0.5525420407202042	0.7954927800678168	Direct bilirubin (umol/L)
20154_irnt.female	2.2240886553783814	0.5529149135735422	0.7954927800678168	Forced expiratory volume in 1-second (FEV1), predicted percentage
3064_irnt.female	1.8823997223641813	0.556287236815765	0.7983877946475649	Peak expiratory flow (PEF)
24003_irnt.female	-3.3516563912485275	0.5608000245667863	0.8020760895205967	Nitrogen dioxide air pollution; 2010
5263_irnt.female	-0.8671499272316147	0.561589902543382	0.8020760895205967	Intra-ocular pressure, Goldmann-correlated (left)
4230_irnt.female	-5.559268592474907	0.5643168306023749	0.8040145135038691	Signal-to-noise-ratio (SNR) of triplet (left)
189_irnt.female	-1.1397693618647746	0.5672114615104695	0.8061819077642751	Townsend deprivation index at recruitment
2966_irnt.female	-2.659821901098618	0.5709181046881207	0.8078313248957382	Age high blood pressure diagnosed
5102_irnt.male	-45.98125970418536	0.571124360871774	0.8078313248957382	6mm weak meridian angle (left)
5107_irnt.female	-2.1003210899162736	0.5785373991488273	0.8163496473566385	3mm strong meridian angle (right)
100015_irnt.male	-9.500765353916734	0.5816673432651405	0.8172692972629295	Vitamin C
30820_irnt.male	-8.929872838134752	0.581973707420621	0.8172692972629295	Rheumatoid factor (IU/ml)
757_irnt.female	-6.666127547835817	0.5867799939905405	0.8212865699145241	Time employed in main current job
5109_irnt.male	-6.2451404539725	0.5876326394618401	0.8212865699145241	6mm asymmetry angle (right)
20019_irnt.male	-4.587108737729235	0.5899616256358586	0.8225830742238694	Speech-reception-threshold (SRT) estimate (left)
5257_irnt.female	-0.4659337824413866	0.5920255241501196	0.823504698284645	Corneal resistance factor (right)
5135_irnt.female	2.082043145549738	0.6069870484621893	0.8423200885279081	3mm strong meridian (left)
100008_irnt.male	38.6237200669211	0.6150693234835711	0.848777023975011	Total sugars
5087_irnt.male	7.459119428325279	0.6154289174648166	0.848777023975011	Cylindrical power (right)
3063_irnt.female	1.635403232816676	0.6159778742987303	0.848777023975011	Forced expiratory volume in 1-second (FEV1)
93_irnt.female	-1.992434381626608	0.6229250518391595	0.8554555977916346	Systolic blood pressure, manual reading
4288_irnt.female	-2.7412660631163077	0.6237393455789091	0.8554555977916346	Time to answer
22146_irnt.male	-44.788658164742266	0.6311947509627129	0.8618673901552871	Age hayfever or allergic rhinitis diagnosed by doctor
5156_irnt.male	6.582096633307601	0.632804696762669	0.8618673901552871	3mm asymmetry index (left)
130_irnt.female.v2	5.101241580377508	0.6328191569964715	0.8618673901552871	Place of birth in UK - east co-ordinate
30520_irnt.male	2.654035592922465	0.6355723806618914	0.8624101015762539	Potassium in urine
30740_irnt.female	2.8011232208955232	0.636156003377373	0.8624101015762539	Glucose (mmol/L)
4290_irnt.female	-0.2240481131614144	0.6391915507552668	0.8645286642703723	Duration screen displayed
12340_irnt.female	-5.788170673226115	0.6437426647639659	0.8675475431119473	QRS duration
2139_irnt.female	0.4626949501929828	0.6443794357696917	0.8675475431119473	Age first had sexual intercourse
4241_irnt.female	-3.39713380141458	0.659435235077497	0.8829506421784089	Signal-to-noise-ratio (SNR) of triplet (right)
5096_irnt.male	0.2907713190173251	0.6619361510139128	0.8829506421784089	3mm weak meridian (left)
3436_irnt.female	-2.888419264516459	0.6629169331597694	0.8829506421784089	Age started smoking in current smokers
5116_irnt.female	-0.6425613699578439	0.6646671516941702	0.8829506421784089	3mm cylindrical power (right)
22146_irnt.female	6.336743535761452	0.6653805308567279	0.8829506421784089	Age hayfever or allergic rhinitis diagnosed by doctor
102_irnt.male	1.847716121656907	0.6668737952854105	0.8829506421784089	Pulse rate, automated reading
2867_irnt.female	-2.2578569703923423	0.6674085726473784	0.8829506421784089	Age started smoking in former smokers
100001_irnt.female	6.221237567020194	0.6678536373547079	0.8829506421784089	Food weight
1488_irnt.female	-0.2148524775084974	0.6699940445436865	0.8837898969598741	Tea intake
24011_irnt.female	-4.468261177336919	0.6721536533298984	0.8846506603243282	Traffic intensity on the nearest major road
100007_irnt.male	6.353143836375219	0.6770701920004094	0.8891279702555711	Polyunsaturated fat
100005_irnt.male	-6.6001380940688925	0.6817388327887896	0.8917103942292001	Carbohydrate
4244_irnt.female	-1332.241425658364	0.6820749012076845	0.8917103942292001	Mean signal-to-noise ratio (SNR), (right)
4244_irnt.male	-16.37059073377881	0.6883454799992328	0.8969133950395214	Mean signal-to-noise ratio (SNR), (right)
399_irnt.female	0.1761269699015798	0.6893669515851786	0.8969133950395214	Number of incorrect matches in round
100011_irnt.female	6.40815546086151	0.6920747783699879	0.8969133950395214	Iron
20019_irnt.female	-4.703877005902093	0.6921665552860361	0.8969133950395214	Speech-reception-threshold (SRT) estimate (left)
4120_irnt.male	2.07752190028026	0.6957888847928093	0.899621311395108	Heel broadband ultrasound attenuation (right)
5254_irnt.male	-0.6164733382831022	0.6992747713433158	0.9010138657482448	Intra-ocular pressure, corneal-compensated (right)
914_irnt.male	-0.3041052496250426	0.6999358139373077	0.9010138657482448	Duration of vigorous activity
3144_irnt.male	0.2203256926511362	0.7053812658138989	0.9060367681241983	Heel Broadband ultrasound attenuation, direct entry
4241_irnt.male	-5.517427670050828	0.7074204387545742	0.9066720470500764	Signal-to-noise-ratio (SNR) of triplet (right)
100023_irnt.female	5.35539987142028	0.7098518853651195	0.9071699334854884	Starch
1438_irnt.female	0.1738769114553167	0.7108997775184407	0.9071699334854884	Bread intake
699_irnt.female	2.457760642758677	0.7129580819074925	0.9074772377319542	Length of time at current address
5110_irnt.female	3.1755674928901216	0.7142325107873302	0.9074772377319542	6mm asymmetry angle (left)
5160_irnt.female	-2.8231274508688537	0.7185422396660073	0.9104227872221516	3mm regularity index (right)
5119_irnt.female	-0.6193140891080527	0.7196527653681062	0.9104227872221516	3mm cylindrical power (left)
24019_irnt.male	-1.210989884741842	0.7228884059132055	0.9125494500452723	Particulate matter air pollution (pm10); 2007
5201_irnt.male	-1.3230470309174225	0.725731313992001	0.9129530340677379	logMAR, final (right)
5133_irnt.male	0.4251381407378667	0.726523463705065	0.9129530340677379	6mm strong meridian (right)
30850_irnt.male	0.3998978358042989	0.7291584061550752	0.9129530340677379	Testosterone (nmol/L)
4233_irnt.male	15.160552741795843	0.7294292554987547	0.9129530340677379	Mean signal-to-noise ratio (SNR), (left)
6032_irnt.female	3.756069888888548	0.7330544217659554	0.9137692882959421	Maximum workload during fitness test
100012_irnt.female	10.567657440872006	0.7331947781727235	0.9137692882959421	Vitamin B6
4101_irnt.male	1.9039264326093952	0.735422469377802	0.9145360369430371	Heel broadband ultrasound attenuation (left)
20154_irnt.male	0.2216442055611298	0.7369259718467743	0.9145360369430371	Forced expiratory volume in 1-second (FEV1), predicted percentage
30600_irnt.female	1.6949021509331113	0.7418426278026928	0.9173248442362226	Albumin (g/L)
130_irnt.female	3.942825653218826	0.7422986388623607	0.9173248442362226	Place of birth in UK - east co-ordinate
5097_irnt.female	0.4465667385527904	0.7484177341967441	0.921900649512422	6mm weak meridian (left)
5375_irnt.female	10.1741145440253	0.7491424358048131	0.921900649512422	Longest period of unenthusiasm / disinterest
40007_irnt.male	133.80209185328843	0.7519186852392666	0.9226991816806223	Age at death
12340_irnt.male	6.65896617622446	0.7529351073680035	0.9226991816806223	QRS duration
30830_irnt.female	1.633282789194247	0.7581699364082707	0.9259473107631062	SHBG (nmol/L)
22643_irnt.male	-73.94118986350021	0.7615891294253454	0.9259473107631062	Number of night shifts worked monthly during mixed shift periods
20455_irnt.male	-13.8281147491844	0.7618522461439976	0.9259473107631062	Age when last took cannabis
5986_irnt.female	5.006676915472535	0.7618953170333566	0.9259473107631062	ECG, phase time
5118_irnt.male	10.373977139955835	0.7649075458204628	0.9276874574310159	6mm cylindrical power (left)
4079_irnt.male	0.4294870331575874	0.7685043355042942	0.9301279277134448	Diastolic blood pressure, automated reading
20151_irnt.male	1.388934525931658	0.7708803219949113	0.9302463011617985	Forced vital capacity (FVC), Best measure
6038_irnt.male	4.35658349306808	0.7746302307683288	0.9302463011617985	Number of trend entries
30510_irnt.male	1.9686040101603672	0.7749354382052739	0.9302463011617985	Creatinine (enzymatic) in urine
20434_irnt.male	-5.998548901200335	0.7749411265214983	0.9302463011617985	Age at last episode of depression
6038_irnt.female	-2.858166636684908	0.7790353043338488	0.9332524972325903	Number of trend entries
5098_irnt.female	0.4154818981741308	0.7824259770052555	0.9354053940979328	6mm weak meridian (right)
24008_irnt.male	10.192461521885695	0.7865359645447761	0.9363177736292957	Particulate matter air pollution 2.5-10um; 2010
5158_irnt.female	-0.4530959052167105	0.7887476548301524	0.9363177736292957	6mm asymmetry index (right)
5983_irnt.female	-0.8763643740149205	0.7893626871158093	0.9363177736292957	ECG, heart rate
5254_irnt.female	2.1775384397405517	0.7895695024642272	0.9363177736292957	Intra-ocular pressure, corneal-compensated (right)
20127_irnt.male	0.628728066953584	0.792475386346517	0.9378690560189628	Neuroticism score
5984_irnt.male	-0.6252832031455845	0.7966212279554559	0.9408785931787779	ECG, load
94_irnt.male	-1.373418759254022	0.7997321400540203	0.9426561570516263	Diastolic blood pressure, manual reading
100021_irnt.female	-19.800744971593005	0.8050382716094763	0.946934400863593	Vitamin D
757_irnt.male	6.392874929377504	0.8065880756930094	0.946934400863593	Time employed in main current job
20007_irnt.female	18.338631865806047	0.8093939106028796	0.948331787472835	Interpolated Age of participant when cancer first diagnosed
4194_irnt.male	0.3111896223531357	0.8136486559629085	0.9514178506976639	Pulse rate
30740_irnt.male	1.9355319663822237	0.821336513379691	0.9563246602510328	Glucose (mmol/L)
5115_irnt.male	-0.9644055394398218	0.8217953759673383	0.9563246602510328	3mm cylindrical power angle (right)
5104_irnt.female	-0.0336567242324538	0.8227324589893894	0.9563246602510328	3mm strong meridian angle (left)
30500_irnt.male	-0.3156031762124359	0.8277580920077426	0.9602648221512745	Microalbumin in urine
30670_irnt.female	1.3425690360571705	0.8296037420306563	0.9605076855463418	Urea (mmol/L)
5100_irnt.male	-0.8196719824736433	0.8350375481818864	0.9632613519405959	3mm weak meridian angle (right)
30897_irnt.male	6.508981625281601	0.8385577655410653	0.9632613519405959	Estimated sample dilution factor (factor)
30770_irnt.male	0.6599760077589967	0.8419867304275336	0.9632613519405959	IGF-1 (nmol/L)
5986_irnt.male	-0.7790777127818261	0.8421755333898983	0.9632613519405959	ECG, phase time
3627_irnt.male	-1.688866371099551	0.8443622234798779	0.9632613519405959	Age angina diagnosed
130_irnt.male.v2	-0.7058908719370371	0.8448082721450736	0.9632613519405959	Place of birth in UK - east co-ordinate
30730_irnt.female	0.5079999094120844	0.8450801106333348	0.9632613519405959	Gamma glutamyltransferase (U/L)
30520_irnt.female	1.5401011421717732	0.8457567644522568	0.9632613519405959	Potassium in urine
24010_irnt.male	-0.9713918588932045	0.8484245094566714	0.9632613519405959	Inverse distance to the nearest road
22605_irnt.female	11.79133439944169	0.8493726782207525	0.9632613519405959	Work hours per week - exact value
5096_irnt.female	0.620990871790913	0.851655424246434	0.9632613519405959	3mm weak meridian (left)
21021_irnt.female	-0.3754429659171564	0.8589412925747693	0.9632613519405959	Pulse wave Arterial Stiffness index
24006_irnt.female	-0.3514783629776639	0.8590507407148185	0.9632613519405959	Particulate matter air pollution (pm2.5); 2010
12336_irnt.male	-1.1470544047609734	0.8593508181028411	0.9632613519405959	Ventricular rate
30800_irnt.female	3.918062926541858	0.861973691306605	0.9632613519405959	Oestradiol (pmol/L)
100018_irnt.male	-4.080403678419593	0.8620596201311193	0.9632613519405959	Retinol
5134_irnt.female	0.6719409528511961	0.8629295015653237	0.9632613519405959	6mm strong meridian (left)
5256_irnt.female	0.4231499032979209	0.8636127689218331	0.9632613519405959	Corneal hysteresis (right)
30700_irnt.female	1.254263622400768	0.8642202331514097	0.9632613519405959	Creatinine (umol/L)
24012_irnt.female	-2.980590643773979	0.8661253272259938	0.9632613519405959	Inverse distance to the nearest major road
20021_irnt.female	3.8041632670189136	0.8666872252566579	0.9632613519405959	Speech-reception-threshold (SRT) estimate (right)
20074_irnt.female	3.175699888179791	0.8680839100112014	0.9632613519405959	Home location at assessment - east co-ordinate (rounded)
5134_irnt.male	1.3019263374166803	0.8702345007365923	0.9635780451084985	6mm strong meridian (left)
100017_irnt.male	2.6333380584390924	0.87171285662337	0.9635780451084985	Magnesium
3436_irnt.male	5.292056577515289	0.8732939011886223	0.9635780451084985	Age started smoking in current smokers
100016_irnt.male	-0.448082891887034	0.8838445099298753	0.9720098576595353	Potassium
5111_irnt.male	2.509298997150884	0.8842474684671071	0.9720098576595353	3mm asymmetry angle (left)
20420_irnt.male	2.941551901377354	0.893472398055831	0.9792588007554238	Longest period spent worried or anxious
24006_irnt.male	0.2996960346878426	0.8958340259151072	0.9792588007554238	Particulate matter air pollution (pm2.5); 2010
5116_irnt.male	0.3436140379133722	0.8958466371476365	0.9792588007554238	3mm cylindrical power (right)
3064_irnt.male	0.771915885366011	0.9024912776558626	0.9808714941540672	Peak expiratory flow (PEF)
4230_irnt.male	2.6337782112828565	0.9028251404766744	0.9808714941540672	Signal-to-noise-ratio (SNR) of triplet (left)
24008_irnt.female	-0.6146665302312894	0.9046272094811408	0.9808714941540672	Particulate matter air pollution 2.5-10um; 2010
5208_irnt.male	3.80645497469586	0.9060125990123522	0.9808714941540672	logMAR, final (left)
400_irnt.female	0.7992635255699628	0.9065221217367334	0.9808714941540672	Time to complete round
24016_irnt.male	1.515357003834511	0.9073479068580212	0.9808714941540672	Nitrogen dioxide air pollution; 2005
5088_irnt.female	-0.3329083808492959	0.9109716016873451	0.9829785481442492	Astigmatism angle (right)
5117_irnt.female	1.8938894155362156	0.9155604998256822	0.9861174557755512	6mm cylindrical power (right)
5117_irnt.male	-15.69935238246092	0.9176948859371568	0.9866060403756612	6mm cylindrical power (right)
24007_irnt.male	-0.0352323968172793	0.9224288188435608	0.9870620963064807	Particulate matter air pollution (pm2.5) absorbance; 2010
30730_irnt.male	1.260504348272592	0.922579399283398	0.9870620963064807	Gamma glutamyltransferase (U/L)
20016_irnt.male	1.2140424464218222	0.9231636982491616	0.9870620963064807	Fluid intelligence score
5110_irnt.male	-0.1022346211974481	0.9267003728315468	0.9874506565696044	6mm asymmetry angle (left)
100024_irnt.male	3.057755757357542	0.9282764492412516	0.9874506565696044	Calcium
6033_irnt.female	0.4989492664585244	0.9285737008968	0.9874506565696044	Maximum heart rate during fitness test
5135_irnt.male	0.8621493548898989	0.9314968042369404	0.9887678554920145	3mm strong meridian (left)
4124_irnt.male	1.190553979517656	0.940849705296852	0.9944223270037995	Heel bone mineral density (BMD) (right)
24004_irnt.female	0.4099135241311205	0.941547951990723	0.9944223270037995	Nitrogen oxides air pollution; 2010
4104_irnt.male	0.8294284984307906	0.9435410126063368	0.9944223270037995	Heel quantitative ultrasound index (QUI), direct entry (left)
30897_irnt.female	-0.9316973037432088	0.9448952266281776	0.9944223270037995	Estimated sample dilution factor (factor)
5157_irnt.female	0.5950628620892956	0.9463142360180884	0.9944223270037995	6mm asymmetry index (left)
5159_irnt.male	-1.737322320551833	0.9469882125981668	0.9944223270037995	3mm asymmetry index (right)
4196_irnt.female	1.4577968492602458	0.9513145497009146	0.9964859051033422	Pulse wave peak to peak time
20022_irnt.female	0.857899514144364	0.952348539630281	0.9964859051033422	Birth weight
5984_irnt.female	1.4392191503709313	0.955861092256481	0.9976093351140397	ECG, load
4106_irnt.male	0.8682309906202775	0.9568212191979631	0.9976093351140397	Heel bone mineral density (BMD) T-score, automated (left)
5099_irnt.female	1.1034802410737652	0.9585503004373842	0.9976401176538023	3mm weak meridian (right)
100024_irnt.female	0.4280269905505102	0.9603821446670266	0.9977775556098135	Calcium
4123_irnt.male	1.118149307890309	0.9637179116344544	0.9978284682367167	Heel quantitative ultrasound index (QUI), direct entry (right)
4125_irnt.male	1.11777591903155	0.9638309054347842	0.9978284682367167	Heel bone mineral density (BMD) T-score, automated (right)
2217_irnt.female	0.8960241503120725	0.9657415624035028	0.9979248144905378	Age started wearing glasses or contact lenses
5103_irnt.male	0.6063752793985496	0.972062456264506	0.9979248144905378	3mm weak meridian angle (left)
5375_irnt.male	-1.1868947536723116	0.9773736801131028	0.9979248144905378	Longest period of unenthusiasm / disinterest
4105_irnt.male	1.068791684623061	0.9777317334952323	0.9979248144905378	Heel bone mineral density (BMD) (left)
20021_irnt.male	-6.022107993313421	0.9790073963929352	0.9979248144905378	Speech-reception-threshold (SRT) estimate (right)
6032_irnt.male	0.8434018388701129	0.9794263661043774	0.9979248144905378	Maximum workload during fitness test
